"고유번호","작품분류코드","작품분류명","관리번호(년도)","관리번호(번호)","작품명(국문)","작품명(영문)","작품규격","액자규격","제작년도","재료/기법","기증자","수집년도","소장처분류코드","소장처분류명","작품캡션","작가명","메인이미지","썸네일이미지"
"2877","A07","사진","2010","70","연작 "PROCESS"中 PRS-003 MARCH","","105*170cm","110*175cm","2006","Photographic Color Print  with Wooden Frame","","2010","B01","서소문본관 수장고","오상택(1970― )은 서울예술대학 사진과 및 시카고 아트인스티튜트 파인아트, 샌프란시스코 아트인스티튜트 대학원 사진과를 졸업하였다. 국내외에서 다수의 개인전과 단체전을 개최하였다. 2009년 단원미술대전 우수상, 2009년 송은미술대상 장려상 등을 수상하였으며, 국립고양미술창작스튜디오, 국립현대미술관 국제 교환 레지던스 프로그램, 서울시립미술관 난지미술 창작스튜디오 입주작가로 활동하였다. 현재 서울예술대학교 미디어창작학과 교수로 재직 중이다.  디지털 사진이 발명된 이후로 사진에서의 조작이 용이해지긴 했지만 그래도 사진은 여전히 현실에 기반 한 매체이다. 하지만 그 현실을 어떻게 보이도록 구성할지는 사진작가의 몫이다. 오상택은 현실을 자신의 시각에서 해석하고 이를 상징적인 구성을 통해 표현하는 작업을 한다. 작가가 표현하고자 하는 모습은 끊임없이 이상을 추구하는 동시대인들의 모습이며, 그가 정의하는 동시대인들은 척박한 현실 속에서도 희망을 잃지 않는 사람들이다. 작가는 그 희망을 위해 하루하루를 살아가는 동시대인들의 고뇌와 그에 대한 연민, 애잔함 등의 감정을 〈Sports〉(2010), 〈City Romance〉(2010), 〈Process〉(2006) 등의 작업에 담았다. 최근에는 ‘옷’을 소재로 현대인의 욕망을 표현하는 〈closet〉 작업에 몰두하고 있다.  〈PRS―003 March〉(2006)는 〈Process〉 시리즈 중 하나로, 작가가 대관령에서 5명의 모델들과 연출한 장면을 찍은 것이다. 실제 장소는 대관령이지만 사진에서 표현된 장면은 시작도 끝도 보이지 않을 만큼 넓은 눈 덮인 평야를 자신의 몸보다 큰 하얀 깃발을 메고 걸어가는 사람들의 모습이다. 하늘도 땅도 온통 하얘서 어디가 하늘이고 어디가 땅인지 잘 구별되지 않고, 표식이 될 만한 것이 아무것도 없어 방향도 분간되지 않는다. 완전한 미지의 세계인 것이다. 그렇지만 사람들은 흰색 깃발을 휘날리며 씩씩하게 한 방향으로 나아가고 있어 희망적이다. ","오상택","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6311","http://collections.eseoul.go.kr/data/art/thumb/2877.jpg"
"2878","A07","사진","2010","71","IN GOD WE TRUST?(세개의 문)","","118*245cm","126.5*253cm","2009","Photography,  Computer graphic, Lightjet print, Diasec","","2010","B01","서소문본관 수장고","","이중근","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6312","http://collections.eseoul.go.kr/data/art/thumb/2878.jpg"
"2879","A07","사진","2010","72","","Unidentified Flying Life-ufl2010b","110 X 198","","2010","디지털프린트, 한지","","2010","B01","서소문본관 수장고","","이호성","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6315","http://collections.eseoul.go.kr/data/art/thumb/2879.jpg"
"2880","A07","사진","2010","73","","Unidentified Flying Life-ufl2010e","110 X 225","","2010","디지털프린트, 한지","","2010","B01","서소문본관 수장고","","이호성","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6318","http://collections.eseoul.go.kr/data/art/thumb/2880.jpg"
"2881","A07","사진","2010","74","옮겨진 산수 유람기 072","","163.7 X 110","163.7 X 110","2007","c-print, 싸이텍","","2010","B01","서소문본관 수장고","","임택","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6321","http://collections.eseoul.go.kr/data/art/thumb/2881.jpg"
"2882","A07","사진","2010","75","옮겨진 산수 유람기 0719","","160 X 110","160 X 110","2007","c-print, 싸이텍","","2010","B01","서소문본관 수장고","","임택","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6324","http://collections.eseoul.go.kr/data/art/thumb/2882.jpg"
"2883","A07","사진","2010","76","구보다 작업실","Atelier of video artist Kubota","80 X 120","","2010","pigment (print) on canvas  with digital work","","2010","B01","서소문본관 수장고","","장성은(1959)","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6327","http://collections.eseoul.go.kr/data/art/thumb/2883.jpg"
"2884","A07","사진","2010","77","","tee.vee pixel O-WHITE","200 X 120","201.5*122cm","2010","color silver print","","2010","B01","서소문본관 수장고","","황규태","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=14333","http://collections.eseoul.go.kr/data/art/thumb/14333.jpg"
"2885","A07","사진","2010","78","","pixel pixy","200 X 120","202*122cm","2010","color silver print","","2010","B01","서소문본관 수장고","","황규태","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=14334","http://collections.eseoul.go.kr/data/art/thumb/14334.jpg"
"2886","A05","뉴미디어","2010","79","무제","","245 X 63 X 23","","1993","모니터, 돌, 나무","","2010","B01","서소문본관 수장고","박현기(1942―2000)는 일제강점기 일본 오사카에서 태어나, 1945년 해방 후 대구로 넘어왔다. 1961년 홍익대학교 회화과에 입학했지만, 건축과로 전과하여 1966년 졸업하였다. 1974년 〈대구현대미술제〉에 참여하며 작가로서의 이름을 알렸다. 1980년 제17회 한국미술대상전에서 우수상을 수상하였으며, 한국과 일본에서 개인전을 열었다. 1979년 상파울루비엔날레, 1980년 파리비엔날레에 참여하였다. 2000년 타계 이후, 2008년 대구문화예술회관과 2010년 갤러리현대, 2015년 국립현대미술관에서 대규모 회고전이 열렸다.  박현기는 국내 비디오 아트 1세대로 꼽히는 작가로, 백남준의 작품을 통해 비디오라는 매체에 관심을 가졌다. 서구의 비디오 아트가 새로운 테크놀로지에 집중하는 반면, 박현기의 작업에서 비디오 매체는 동양의 정신과 문화를 표현하는 하나의 새로운 수단으로 다뤄진다. 그는 당시에 쏟아지듯 유입되는 서구의 문화와 ‘포스트모더니즘’적 형식 속에서 한국의 전통적 세계관과 동양의 정신에 대하여 고민하였다. 당시 기술적으로 가장 진보적인 형태였던 비디오라는 매체를 통하여 우리의 고유한 정신을 담고자 하였던 그의 작품들은 한국적인 색채와 진보적 기술, 그 이중성의 절묘한 합으로 인하여 독특한 작품 세계를 만들어냈다.   〈무제〉(1993)는 비디오라는 당시 최신 매체와 동양 정신의 절묘한 조화로 구성되어 있다. 위쪽 1/4 정도는 남겨놓고 세로로 잘라낸 목재가 세로로 세워져 있는데, 아래쪽에는 각 판들 사이에 묵직한 돌들이 끼워져 마치 거대한 부채살처럼 균일한 공간을 나눠 갖고 있다. 아래 한쪽 끝에는 돌과 비슷한 크기의 모니터가 달려있고, 그 모니터에는 이 작품을 관찰하는 관람자로서 작가의 모습이 촬영된 영상이 돌아가고 있다. 한국적 분위기를 환기시키는 실제 물질과 이를 촬영하여 모니터의 화면에 상영하는 최신 매체 이미지 사이의 이중적이고 모호한 경계가 나타난다. ","박현기","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6336","http://collections.eseoul.go.kr/data/art/thumb/2886.jpg"
"2887","A06","공예","2010","80","아름다운 서울","","180*270cm","","2010","판넬에 옻칠","작가 기증, 2010년","2010","B02","북서울미술관 수장고","","전용복","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6337","http://collections.eseoul.go.kr/data/art/thumb/2887.jpg"
"2888","A06","공예","2010","81","강의 축제","","60*80cm","","2009","판넬에 옻칠","작가 기증, 2010년","2010","B02","북서울미술관 수장고","","전용복","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6343","http://collections.eseoul.go.kr/data/art/thumb/2888.jpg"
"2889","A06","공예","2010","82","유희","","60*80cm","","2009","판넬에 옻칠","작가 기증, 2010년","2010","B02","북서울미술관 수장고","","전용복","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6344","http://collections.eseoul.go.kr/data/art/thumb/2889.jpg"
"2890","A06","공예","2010","83","가을","","60*80cm","","2005","판넬에 옻칠","작가 기증, 2010년","2010","B02","북서울미술관 수장고","","전용복","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6345","http://collections.eseoul.go.kr/data/art/thumb/2890.jpg"
"2891","A06","공예","2010","84","결실","","60 X 60","","2005","판넬에 옻칠","작가 기증, 2010년","2010","B02","북서울미술관 수장고","","전용복","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6346","http://collections.eseoul.go.kr/data/art/thumb/2891.jpg"
"2892","A01","한국화","2010","85","그래요, 재일씨","","231*180","","2010","한지태움, 혼합재료","","2010","B02","북서울미술관 수장고","","김정헌","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6347","http://collections.eseoul.go.kr/data/art/thumb/2892.jpg"
"2893","A01","한국화","2010","86","","Interaction of sensitivity","90 X 200","96 X 206","2010","한지, 먹, 채색, 돌가루","","2010","B02","북서울미술관 수장고","","김진광","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6350","http://collections.eseoul.go.kr/data/art/thumb/2893.jpg"
"2894","A01","한국화","2010","87","생명의노래","","200 X 200","","2009","캔버스에 아크릴","","2010","B02","북서울미술관 수장고","","류민자","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6353","http://collections.eseoul.go.kr/data/art/thumb/2894.jpg"
"2895","A01","한국화","2010","88","시간이라는 경계 사이에서13","","170 X 90","","2010","한지에 혼합재료,분채","","2010","B02","북서울미술관 수장고","","문재일","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6356","http://collections.eseoul.go.kr/data/art/thumb/2895.jpg"
"2896","A01","한국화","2010","89","가장 멀리 있는 나","","130.3 X 162.1","","2010","한지, 채색, 혼합재료","","2010","B02","북서울미술관 수장고","","이보름","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6359","http://collections.eseoul.go.kr/data/art/thumb/2896.jpg"
"2897","A01","한국화","2010","90","외금강 삼선암","","135 X 169","151 X 185","2002","한지, 먹, 수묵담채","","2010","B02","북서울미술관 수장고","","임송희","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6362","http://collections.eseoul.go.kr/data/art/thumb/2897.jpg"
"2898","A01","한국화","2010","91","일상의 웃음","","95 X 116 X 2pcs","98 X 114","2008","염색삼베에 수묵","","2010","B02","북서울미술관 수장고","","임지연","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6365","http://collections.eseoul.go.kr/data/art/thumb/2898.jpg"
"2899","A01","한국화","2010","92","悠然見-동강 가수리","","116.4*222.7cm","","2006","한지에 수묵담채","","2010","B02","북서울미술관 수장고","","임태규","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6368","http://collections.eseoul.go.kr/data/art/thumb/2899.jpg"
"2900","A01","한국화","2010","93","삼다 01#7","","160 X 135","177 X 148","2001","닥종이에 채색","","2010","B02","북서울미술관 수장고","","차동하","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6371","http://collections.eseoul.go.kr/data/art/thumb/2900.jpg"
"2901","A01","한국화","2010","94","","Untitled-2","231.8*152.3cm","","2010","캔버스에 한지, 혼합안료","","2010","B02","북서울미술관 수장고","","허진권","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=14295","http://collections.eseoul.go.kr/data/art/thumb/14295.jpg"
"2902","A02","회화","2010","95","","Blue prison","92*119.5*12.7cm","95*123*12.7cm","2005","Acrylic, pearlscent & metallic on canvas","","2010","B02","북서울미술관 수장고","","피터 할리","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6377","http://collections.eseoul.go.kr/data/art/thumb/2902.jpg"
"2903","A02","회화","2010","96","사랑의 뜰","","130*195cm","145 X 210","2008","캔버스에 유채","","2010","B02","북서울미술관 수장고","","강정완","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6380","http://collections.eseoul.go.kr/data/art/thumb/2903.jpg"
"2904","A02","회화","2010","97","","Moon","96*78(*2개)","","2010","mixed media on stainless mirror & steel","","2010","B02","북서울미술관 수장고","","김기수","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6381","http://collections.eseoul.go.kr/data/art/thumb/2904.jpg"
"2905","A02","회화","2010","98","","Instant landscape-horse#4","130 X 193","142*206*13cm","2010","artificial fur and charcoal on canvas","","2010","B02","북서울미술관 수장고","","김남표","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6382","http://collections.eseoul.go.kr/data/art/thumb/2905.jpg"
"2906","A02","회화","2010","99","","melancholy","130  X 194","","2009","캔버스에 유채","","2010","B02","북서울미술관 수장고","","김성수(1969)","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6383","http://collections.eseoul.go.kr/data/art/thumb/2906.jpg"
"2907","A02","회화","2010","100","먼로의탄생","","130 X 194","","2010","캔버스에 아크릴, 모래","","2010","B02","북서울미술관 수장고","","김성엽","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6384","http://collections.eseoul.go.kr/data/art/thumb/2907.jpg"
"2909","A02","회화","2010","101","북악전망","","193.5*530.5cm","196*532.5cm","1987","캔버스에 유채","","2010","B02","북서울미술관 수장고","","김원","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6385","http://collections.eseoul.go.kr/data/art/thumb/2909.jpg"
"2910","A02","회화","2010","102","","Thomas Crown  Affair-Black II","140 X 180","","2009","Oil on canvas","","2010","B02","북서울미술관 수장고","","김장희","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6386","http://collections.eseoul.go.kr/data/art/thumb/2910.jpg"
"2911","A02","회화","2010","103","엘리자베스 테일러와 백자","","180*133cm","182*137.5cm","2009","Acrylic on canvas","","2010","B02","북서울미술관 수장고","","김중식","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6387","http://collections.eseoul.go.kr/data/art/thumb/2911.jpg"
"2912","A02","회화","2010","104","딸기가 제일 좋아","","130 X 162","","2007","캔버스에 아크릴, 마블링","","2010","B02","북서울미술관 수장고","","지희킴","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6388","http://collections.eseoul.go.kr/data/art/thumb/2912.jpg"
"2913","A02","회화","2010","105","존재의 의미","","89 X 115","120*145cm","2001","종이에 수채","","2010","B02","북서울미술관 수장고","","박순배","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6389","http://collections.eseoul.go.kr/data/art/thumb/2913.jpg"
